date|cpc|User_Base
2022-11-19|41051|16
2022-11-19|41129|1802
2022-11-19|41149|342
2022-11-19|41177|13908
2022-11-19|41181|21465
2022-11-19|41235|656
2022-11-19|41247|57
2022-11-19|41329|22698
2022-11-19|41529|61
2022-11-19|41589|34
2022-11-19|41633|27
2022-11-19|41636|92
2022-11-19|41638|15
2022-11-19|41644|178
2022-11-19|41650|164
2022-11-19|41652|79
2022-11-19|41675|4
2022-11-19|41794|33
2022-11-19|41798|38
2022-11-19|41802|17
2022-11-19|41804|25
2022-11-19|41809|33
2022-11-19|41909|2872
2022-11-19|41949|34154
2022-11-19|42049|7264
2022-11-19|42069|28
2022-11-19|42071|9714
2022-11-19|42073|19
2022-11-19|42076|1464
2022-11-19|42078|10
2022-11-19|42339|3097
2022-11-19|42341|7
2022-11-19|42389|2
2022-11-19|42489|5
2022-11-19|42609|16
2022-11-19|42689|7397
2022-11-19|42709|54
2022-11-19|42911|2891
2022-11-19|43091|12
2022-11-19|43093|13
2022-11-19|43269|10
2022-11-19|43349|80
2022-11-19|43551|9576
2022-11-19|43553|635
2022-11-19|43571|62
2022-11-19|43575|8
2022-11-19|43609|20438
2022-11-19|43611|43
2022-11-19|43613|8488
2022-11-19|43615|22
2022-11-19|43617|18310
2022-11-19|43619|19
2022-11-19|43869|175
2022-11-19|44009|4534
2022-11-19|44051|417
2022-11-19|44169|29
2022-11-19|44409|13133
2022-11-19|44509|460
2022-11-19|44549|1
2022-11-19|44613|4771
2022-11-19|44618|6033
2022-11-19|44620|486
2022-11-19|44629|5746
2022-11-19|44649|5491
2022-11-19|44889|9
2022-11-19|44950|105
2022-11-19|45169|7921
2022-11-19|45300|3267
2022-11-19|45309|51
2022-11-19|45329|1883
2022-11-19|45333|3126
2022-11-19|45335|16114
2022-11-19|45337|2747
2022-11-19|45339|3078
2022-11-19|45341|22
2022-11-19|45343|7590
2022-11-19|45345|768
2022-11-19|45347|15404
2022-11-19|45349|6225
2022-11-19|45351|9383
2022-11-19|45353|57
2022-11-19|45355|279
2022-11-19|45357|3
2022-11-19|45359|48
2022-11-19|45371|51
2022-11-19|45433|14
2022-11-19|45489|1506
2022-11-19|45589|18811
2022-11-19|45629|1539
2022-11-19|45631|1610
2022-11-19|45633|30
2022-11-19|45635|2
2022-11-19|45637|392
2022-11-19|45639|22
2022-11-19|45649|3
2022-11-19|45749|22
2022-11-19|45789|2
2022-11-19|45809|28
2022-11-19|45829|1538
2022-11-19|45849|3593
2022-11-19|45889|1066
2022-11-19|46071|2665
2022-11-19|46109|4202
2022-11-19|46111|1
2022-11-19|46189|6
2022-11-19|46191|2
2022-11-19|46229|33
2022-11-19|46231|37
2022-11-20|893|12708
2022-11-20|25609|42
2022-11-20|25814|182
2022-11-20|25828|19
2022-11-20|25857|59
2022-11-20|28428|964
2022-11-20|29158|517
2022-11-20|30088|130
2022-11-20|30710|384
2022-11-20|31036|27
2022-11-20|31192|14
2022-11-20|31581|407
2022-11-20|31690|139
2022-11-20|32680|122
2022-11-20|34394|5
2022-11-20|34409|2994
2022-11-20|34410|1
2022-11-20|34828|2524
2022-11-20|35008|62
2022-11-20|35014|56
2022-11-20|35020|55
2022-11-20|35357|55
2022-11-20|35887|4932
2022-11-20|36211|878
2022-11-20|36268|108
2022-11-20|36394|257
2022-11-20|36649|5
2022-11-20|36827|8923
2022-11-20|37448|2905
2022-11-20|37841|55
2022-11-20|37947|77
2022-11-20|38903|1287
2022-11-20|38904|56
2022-11-20|38941|1773
2022-11-20|38967|209
2022-11-20|39301|15
2022-11-20|39480|1
2022-11-20|39561|1
2022-11-20|39581|30
2022-11-20|39621|9469
2022-11-20|39681|700
2022-11-20|39682|1
2022-11-20|39721|418
2022-11-20|39923|527
2022-11-20|40101|1
2022-11-20|40221|168
2022-11-20|40341|5
2022-11-20|40545|15
2022-11-20|40562|35
