date,service_name,tme_category,User_Base
2023-02-24,Porno Gafas,Light,10127
2023-02-24,Rincon Prohibido,Light,1393
2023-02-24,Tonos Reales,Music,175
2023-02-25,La Gruta del Sexo,Light,12589
2023-02-25,Porno Gafas,Light,10203
2023-02-25,Rincon Prohibido,Light,1392
2023-02-25,Tonos Reales,Music,175
2023-02-26,La Gruta del Sexo,Light,12560
2023-02-26,Porno Gafas,Light,10214
2023-02-26,Rincon Prohibido,Light,1388
2023-02-26,Tonos Reales,Music,175
2023-02-27,La Gruta del Sexo,Light,12564
2023-02-27,Porno Gafas,Light,10220
2023-02-27,Rincon Prohibido,Light,1380
2023-02-27,Tonos Reales,Music,175
2023-02-28,La Gruta del Sexo,Light,12582
2023-02-28,Porno Gafas,Light,10265
2023-02-28,Rincon Prohibido,Light,1373
2023-02-28,Tonos Reales,Music,174
2023-03-01,La Gruta del Sexo,Light,12668
2023-03-01,Porno Gafas,Light,10338
2023-03-01,Rincon Prohibido,Light,1368
2023-03-01,Tonos Reales,Music,172
2023-03-02,La Gruta del Sexo,Light,12722
2023-03-02,Porno Gafas,Light,10346
2023-03-02,Rincon Prohibido,Light,1363
2023-03-02,Tonos Reales,Music,172
2023-03-03,La Gruta del Sexo,Light,12687
2023-03-03,Porno Gafas,Light,10278
2023-03-03,Rincon Prohibido,Light,1359
2023-03-03,Tonos Reales,Music,172
2023-03-04,La Gruta del Sexo,Light,12678
2023-03-04,Porno Gafas,Light,10272
2023-03-04,Rincon Prohibido,Light,1360
2023-03-04,Tonos Reales,Music,172
2023-03-05,La Gruta del Sexo,Light,12729
2023-03-05,Porno Gafas,Light,10282
2023-03-05,Rincon Prohibido,Light,1355
2023-03-05,Tonos Reales,Music,172
2023-03-06,La Gruta del Sexo,Light,12648
2023-03-06,Porno Gafas,Light,10202
2023-03-06,Rincon Prohibido,Light,1350
2023-03-06,Tonos Reales,Music,172
2023-03-07,La Gruta del Sexo,Light,12565
2023-03-07,Porno Gafas,Light,10128
2023-03-07,Rincon Prohibido,Light,1341
2023-03-07,Tonos Reales,Music,172
2023-03-08,La Gruta del Sexo,Light,12511
2023-03-08,Porno Gafas,Light,10101
2023-03-08,Rincon Prohibido,Light,1334
2023-03-08,Tonos Reales,Music,172
2023-03-09,La Gruta del Sexo,Light,12457
2023-03-09,Porno Gafas,Light,10065
2023-03-09,Rincon Prohibido,Light,1331
2023-03-09,Tonos Reales,Music,172
2023-03-10,La Gruta del Sexo,Light,12386
2023-03-10,Porno Gafas,Light,10036
2023-03-10,Rincon Prohibido,Light,1323
2023-03-10,Tonos Reales,Music,171
2023-03-11,La Gruta del Sexo,Light,12373
2023-03-11,Porno Gafas,Light,10044
2023-03-11,Rincon Prohibido,Light,1321
2023-03-11,Tonos Reales,Music,171
2023-03-12,La Gruta del Sexo,Light,12351
2023-03-12,Porno Gafas,Light,10065
2023-03-12,Rincon Prohibido,Light,1320
2023-03-12,Tonos Reales,Music,171
2023-03-13,La Gruta del Sexo,Light,12311
2023-03-13,Porno Gafas,Light,10071
2023-03-13,Rincon Prohibido,Light,1316
2023-03-13,Tonos Reales,Music,171
2023-03-14,La Gruta del Sexo,Light,12311
2023-03-14,Porno Gafas,Light,10029
2023-03-14,Rincon Prohibido,Light,1312
2023-03-14,Tonos Reales,Music,171
2023-03-15,La Gruta del Sexo,Light,12317
2023-03-15,Porno Gafas,Light,10028
2023-03-15,Rincon Prohibido,Light,1302
2023-03-15,Tonos Reales,Music,171
2023-03-16,La Gruta del Sexo,Light,12222
2023-03-16,Porno Gafas,Light,10018
2023-03-16,Rincon Prohibido,Light,1303
2023-03-16,Tonos Reales,Music,171
2023-03-17,La Gruta del Sexo,Light,12159
2023-03-17,Porno Gafas,Light,10020
2023-03-17,Rincon Prohibido,Light,1301
2023-03-17,Tonos Reales,Music,171
2023-03-18,La Gruta del Sexo,Light,12199
2023-03-18,Porno Gafas,Light,10049
2023-03-18,Rincon Prohibido,Light,1299
2023-03-18,Tonos Reales,Music,171
2023-03-19,La Gruta del Sexo,Light,12244
2023-03-19,Porno Gafas,Light,10097
2023-03-19,Rincon Prohibido,Light,1298
2023-03-19,Tonos Reales,Music,171
2023-03-20,La Gruta del Sexo,Light,12238
2023-03-20,Porno Gafas,Light,10114
2023-03-20,Rincon Prohibido,Light,1294
2023-03-20,Tonos Reales,Music,170
2023-03-21,La Gruta del Sexo,Light,12206
2023-03-21,Porno Gafas,Light,10083
2023-03-21,Rincon Prohibido,Light,1289
2023-03-21,Tonos Reales,Music,170
2023-03-22,La Gruta del Sexo,Light,12165
2023-03-22,Porno Gafas,Light,10096
2023-03-22,Rincon Prohibido,Light,1283
2023-03-22,Tonos Reales,Music,170
2023-03-23,La Gruta del Sexo,Light,12208
2023-03-23,Porno Gafas,Light,10096
2023-03-23,Rincon Prohibido,Light,1279
2023-03-23,Tonos Reales,Music,170
2023-03-24,La Gruta del Sexo,Light,12242
2023-03-24,Porno Gafas,Light,10112
2023-03-24,Rincon Prohibido,Light,1279
2023-03-24,Tonos Reales,Music,169
2023-03-25,La Gruta del Sexo,Light,12246
2023-03-25,Porno Gafas,Light,10138
2023-03-25,Rincon Prohibido,Light,1278
2023-03-25,Tonos Reales,Music,169
2023-03-26,La Gruta del Sexo,Light,12246
2023-03-26,Porno Gafas,Light,10138
2023-03-26,Rincon Prohibido,Light,1278
2023-03-26,Tonos Reales,Music,169
2023-03-27,La Gruta del Sexo,Light,12264
2023-03-27,Porno Gafas,Light,10152
2023-03-27,Rincon Prohibido,Light,1278
2023-03-27,Tonos Reales,Music,168
2023-03-28,La Gruta del Sexo,Light,12241
2023-03-28,Porno Gafas,Light,10142
2023-03-28,Rincon Prohibido,Light,1274
2023-03-28,Tonos Reales,Music,168
2023-03-29,La Gruta del Sexo,Light,12233
2023-03-29,Porno Gafas,Light,10122
2023-03-29,Rincon Prohibido,Light,1270
2023-03-29,Tonos Reales,Music,168
2023-03-30,La Gruta del Sexo,Light,12207
2023-03-30,Porno Gafas,Light,10088
2023-03-30,Rincon Prohibido,Light,1270
2023-03-30,Tonos Reales,Music,168
2023-03-31,La Gruta del Sexo,Light,12154
2023-03-31,Porno Gafas,Light,10077
2023-03-31,Rincon Prohibido,Light,1271
2023-03-31,Tonos Reales,Music,168
2023-04-01,La Gruta del Sexo,Light,12186
2023-04-01,Porno Gafas,Light,10096
2023-04-01,Rincon Prohibido,Light,1271
2023-04-01,Tonos Reales,Music,167
2023-04-02,La Gruta del Sexo,Light,12181
2023-04-02,Porno Gafas,Light,10118
2023-04-02,Rincon Prohibido,Light,1271
2023-04-02,Tonos Reales,Music,167
2023-04-03,La Gruta del Sexo,Light,12133
2023-04-03,Porno Gafas,Light,10092
2023-04-03,Rincon Prohibido,Light,1271
2023-04-03,Tonos Reales,Music,167
2023-04-04,La Gruta del Sexo,Light,12062
2023-04-04,Porno Gafas,Light,10092
2023-04-04,Rincon Prohibido,Light,1268
2023-04-04,Tonos Reales,Music,167
2023-04-05,La Gruta del Sexo,Light,12050
2023-04-05,Porno Gafas,Light,10101
2023-04-05,Rincon Prohibido,Light,1269
2023-04-05,Tonos Reales,Music,167
2023-04-06,La Gruta del Sexo,Light,12066
2023-04-06,Porno Gafas,Light,10100
2023-04-06,Rincon Prohibido,Light,1270
2023-04-06,Tonos Reales,Music,167
2023-04-07,La Gruta del Sexo,Light,12121
2023-04-07,Porno Gafas,Light,10121
2023-04-07,Rincon Prohibido,Light,1269
2023-04-07,Tonos Reales,Music,166
2023-04-08,La Gruta del Sexo,Light,12154
2023-04-08,Porno Gafas,Light,10141
2023-04-08,Rincon Prohibido,Light,1267
2023-04-08,Tonos Reales,Music,166
2023-04-09,La Gruta del Sexo,Light,12221
2023-04-09,Porno Gafas,Light,10161
2023-04-09,Rincon Prohibido,Light,1264
2023-04-09,Tonos Reales,Music,166
2023-04-10,La Gruta del Sexo,Light,12222
2023-04-10,Porno Gafas,Light,10147
2023-04-10,Rincon Prohibido,Light,1259
2023-04-10,Tonos Reales,Music,166
2023-04-11,La Gruta del Sexo,Light,12237
2023-04-11,Porno Gafas,Light,10101
2023-04-11,Rincon Prohibido,Light,1251
2023-04-11,Tonos Reales,Music,166
2023-04-12,La Gruta del Sexo,Light,12244
2023-04-12,Porno Gafas,Light,10071
2023-04-12,Rincon Prohibido,Light,1247
2023-04-12,Tonos Reales,Music,165
2023-04-13,La Gruta del Sexo,Light,12230
2023-04-13,Porno Gafas,Light,10062
2023-04-13,Rincon Prohibido,Light,1247
2023-04-13,Tonos Reales,Music,164
2023-04-14,La Gruta del Sexo,Light,12192
2023-04-14,Porno Gafas,Light,10049
2023-04-14,Rincon Prohibido,Light,1247
2023-04-14,Tonos Reales,Music,163
2023-04-15,La Gruta del Sexo,Light,12223
